,약국명,주소,전화번호
23,2층은약국,"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",02-535-5524
24,2층종로약국,"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",02-525-5603
25,2층하늘약국,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",02-303-4290
26,2호선아산나나약국,"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",02-417-3222
27,365 새누리약국,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",02-2648-1858
28,365구생약국,"서울특별시 은평구 통일로 739, 1층 (대조동)",02-353-1144
29,365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223
30,365그린약국,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",02-2602-8006
31,365마트약국,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",02-2633-4865
32,365미소약국,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",02-387-1123
33,365밝은약국,"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",02-435-0365
34,365샘약국,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 131호 (등촌동)",02-2054-6949
35,365약국,"서울특별시 성북구 동소문로 321, 1층 (길음동)",02-985-1365
36,365역삼역약국,"서울특별시 강남구 테헤란로 지하156, 역삼역 2호선 지하상가 127호 (역삼동)",050-71424-0368
37,365열린약국,서울특별시 관악구 남부순환로 1615  (신림동),02-874-2332
38,365열린약국,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",02-3661-3650
39,365열린약국,"서울특별시 마포구 백범로 199, 메트로디오빌빌딩 108호 (신공덕동)",02-6010-2720
40,365열린약국,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",02-2633-2800
41,365열린약국,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",02-3666-0784
42,365올리브약국,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 1층 (미아동)",02-985-9989
43,365자양미소약국,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",02-453-7985
44,365정화약국,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",02-935-4869
45,365종로약국,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",02-2215-8704
46,365플러스약국,"서울특별시 동대문구 천호대로 133, 홈플러스 동대문점 지하2층 (용두동)",02-963-0110
47,3층 파란문 약국,"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",02-796-9008
48,3층메디칼약국,"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",02-401-7657
49,3층엠코약국,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",02-434-7707
50,3층온누리약국,"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",02-306-4743
51,3층중앙약국,"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",02-577-2501
52,3층하나약국,서울특별시 송파구 올림픽로35길 124  (신천동),02-412-3358
53,4층 다나 약국,"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",02-878-9529
54,4층현약국,"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",02-2245-3015
55,505약국,"서울특별시 구로구 구로동로42길 58, (구로동)",02-856-5050
56,537약국,"서울특별시 강남구 논현로 537, 지하1층 (역삼동)",02-555-0537
57,5층 하늘약국,"서울특별시 강동구 고덕로 133, 강동롯데캐슬퍼스트아파트 5층 513호 (암사동)",024272949
58,5층사랑약국,"서울특별시 중구 서소문로 103, 배재빌딩 511호 (서소문동)",02-6933-5177
59,5층약국,"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)",02-508-5030
60,5층엔약국,"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",02-877-3080
61,7번약국,"서울특별시 강북구 도봉로 339, 1층 (수유동)",02-904-7773
62,7층애약국,"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",02-567-0409
63,7형제약국,"서울특별시 강동구 진황도로 179, 1층 (둔촌동)",02-478-9855
64,8번가위드팜약국,"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",02-313-4588
65,8층약국,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",02-582-8885
66,DMC 허준약국,"서울특별시 종로구 송월길 99, 201동 1층 2146호 (홍파동, 경희궁자이 2단지)",02-302-1550
67,DMC하늘약국,서울특별시 마포구 월드컵북로 361  (상암동),02-483-1457
68,E-삼성약국,서울특별시 강남구 일원로 53 (일원동) ,02-3412-1254
69,G타워약국,"서울특별시 구로구 디지털로26길 38, G-Tower 2층 208호 (구로동)",02-6077-3924
70,SK온누리약국,"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",02-983-8895
71,SooPharm수약국,서울특별시 강서구 화곡로61길 26 (등촌동),02-2659-0053
72,W스토아청와약국,서울특별시 구로구 디지털로 227 (가리봉동),02-855-1482
73,W스토어참좋은약국,"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",02-921-1255
74,delight이화약국,"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",02-332-3984
75,i튼튼약국,"서울특별시 노원구 동일로 1059, (공릉동)",02-972-0246
76,the사랑약국,"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",02-933-3678
77,가가호호조은약국,서울특별시 송파구 토성로 16 (풍납동),02-3784-8500
78,가고싶은이화사랑약국,"서울특별시 강서구 공항대로 지하267, 발산역(5호선) 515-106호 (마곡동)",02-3663-6922
79,가까운단골약국,"서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동)",02-441-8855
80,가까운사랑약국,"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",02-428-4428
81,가까운새서울약국,"서울특별시 송파구 토성로 18, 1층, 지층 (풍납동)",02-477-8205
82,가까운신촌약국,"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",02-362-1001
83,가까운약국,"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",02-883-7266
84,가까운약국,서울특별시 강서구 공항대로 426  (화곡동),02-2697-7796
85,가까운약국,"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",02-2671-8231
86,가까운약국,"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",02-3394-4882
87,가까운약국,서울특별시 서대문구 모래내로 364 (홍은동),02-394-7789
88,가까운약국,서울특별시 성북구 보문로 44 (보문동7가),02-3291-5354
89,가까운약국,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",02-356-9813
90,가까운약국,"서울특별시 금천구 독산로 133, 1층 (시흥동)",02-802-7779
91,가까운온누리약국,"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",02-2650-8828
92,가까운우리약국,"서울특별시 은평구 통일로 1031, 101호 (진관동)",02-355-6637
93,가까운우리약국,"서울특별시 용산구 대사관로31길 7-10, 1층 (한남동)",02-749-6011
94,가까운이화약국,"서울특별시 송파구 강동대로 74, 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",02-489-4383
95,가까운중앙약국,"서울특별시 강서구 마곡중앙4로 74, 106~107호 (마곡동)",02-2662-3675
96,가까운천사약국,"서울특별시 강서구 공항대로36길 9, 1층 (내발산동)",02-2662-0266
97,가까운현대약국,서울특별시 강북구 한천로132길 28 (번동),02-6405-5452
98,가나안약국,"서울특별시 중랑구 봉우재로 39, (면목동)",02-434-9259
99,가나안약국,"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",02-928-4545
100,가나약국,서울특별시 은평구 서오릉로 46,02-352-5088
101,가나약국,"서울특별시 중구 다산로 171, 1층 (신당동)",050-71353-4364
102,가든건강약국,"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",02-2047-1140
103,가든파이브약국,서울특별시 송파구 충민로 66  (문정동),02-2157-0600
104,가디온누리약국,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 117호 (가산동)",02-6674-5544
105,가락약국,"서울특별시 송파구 송파대로 286, 신흥빌딩 (가락동)",02-449-8421
106,가락온누리약국,"서울특별시 송파구 동남로 207, (가락동)",02-400-3332
107,가람약국,"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",02-733-9303
108,가람약국,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 107호 (가산동)",02-2225-0048
109,가람약국,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",02-2614-7645
110,가람약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",02-351-3200
111,가람약국,"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",02-2658-3518
112,가로수길약국,서울특별시 강남구 압구정로 108 (신사동) 1층 7호,02-518-4201
113,가산비타민약국,"서울특별시 금천구 가산디지털2로 166, 에이스 K1타워 114호 (가산동)",050-71319-1323
114,가산소중한약국,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",02-3281-8005
115,가산약국,서울특별시 금천구 가산로 116 (가산동),02-838-1158
116,가산행운약국,"서울특별시 금천구 디지털로10길 78, 126호 (가산동)",02-6230-5755
117,가야온누리약국,"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)",02-997-4540
118,가양누리약국,"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",02-3663-8013
119,가양메디칼약국,서울특별시 강서구 양천로57길 13,02-3661-3055
120,가양종로약국,서울특별시 강서구 양천로 460,02-2659-2356
121,가양플러스약국,"서울특별시 강서구 양천로 431, 홈플러스가양점 B2층 X3,YF호 (가양동)",02-2668-9527
122,가양하늘약국,"서울특별시 강서구 화곡로68길 3, 1층 105호 (등촌동)",02-3665-0130
123,가온약국,"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",02-533-1884
124,가온약국,"서울특별시 강서구 마곡중앙8로 85, 파인스퀘어Ⅱ 109호 (마곡동)",070-4794-9611
125,가온약국,"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",02-473-4302
126,가온약국,"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",02-545-0546
127,가온온누리약국,"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",02-2061-1119
128,가은약국,서울특별시 관악구 봉천로 486,02-878-9669
129,가장빠른천사약국,"서울특별시 송파구 강동대로 74, 1층 103호 (풍납동)",02-483-8875
130,가장친절한정문앞중앙약국,"서울특별시 송파구 강동대로 74, 상가동 104,105,106,107,204호 (풍납동)",02-484-2888
131,가장큰이대약국,"서울특별시 강서구 공항대로 248, 111~113, 206호 (마곡동)",02-2662-8279
132,가장큰태평양약국,서울특별시 용산구 대사관로 52  (한남동),02-790-3376
133,가장큰현대아산약국,"서울특별시 송파구 강동대로 67, 1층 (풍납동)",02-488-4214
134,가장편한대영약국,"서울특별시 송파구 강동대로 74, 108동 101,102,지하102호 (풍납동)",02-485-5000
135,가정약국,서울특별시 용산구 청파로 333 (청파동1가),02-713-6200
136,가정약국,"서울특별시 양천구 목동중앙본로 128-2, 1층 (목동)",02-2648-5110
137,가정약국,"서울특별시 성북구 오패산로3길 158, 1층 (하월곡동)",02-6082-3979
138,가족사랑약국,서울특별시 강북구 오패산로52길 39 (미아동),02-945-3720
139,가좌진약국,서울특별시 서대문구 모래내로 137 1층 (남가좌동),02-372-7749
140,가톨릭정문약국,"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",02-389-9846
141,감람약국,서울특별시 송파구 문정로13길 11-10 (가락동),02-443-7173
142,감마약국,서울특별시 강남구 압구정로 336  (신사동),02-547-8990
143,감초당약국,서울특별시 송파구 백제고분로41길 11  (송파동),02-412-0306
144,감초당약국,"서울특별시 동대문구 약령중앙로 11, 1층 (제기동)",02-963-1174
145,감초당온누리약국,"서울특별시 동대문구 한천로 242, 1층 (전농동)",02-438-1314
146,감초약국,서울특별시 강서구 강서로 38,02-2602-5884
147,강남구청역약국,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",02-511-6252
148,강남굿모닝약국,서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,02-529-4155
149,강남리더스약국,"서울특별시 강남구 헌릉로 569, 1층 105호 (세곡동)",02-3414-8001
150,강남메디칼약국,서울특별시 강남구 삼성로 233  (대치동),02-568-6644
151,강남메디칼약국,"서울특별시 서초구 방배로 174, 1층 (방배동, 태창빌딩)",02-594-0801
152,강남미소약국,"서울특별시 강남구 논현로86길 22, 1층 (역삼동)",02-555-5640
153,강남미약국,"서울특별시 강남구 강남대로 376, 1층 1호 (역삼동)",02-501-2105
154,강남백년가약국,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 102호 (서초동)",02-597-0119
155,강남백세약국,서울특별시 강남구 도곡로 448  (대치동),02-566-3138
156,강남보선약국,서울특별시 강남구 도곡로 516  (대치동),02-568-2310
157,강남본약국,"서울특별시 강남구 강남대로84길 15, 212-1호 (역삼동)",02-557-9480
158,강남봄약국,"서울특별시 강남구 역삼로 118, 1층 (역삼동)",02-557-9480
159,강남사랑약국,"서울특별시 서초구 효령로 12, 1층 (방배동)",02-523-9775
160,강남새천년온누리약국,"서울특별시 강남구 도곡로 523, 1층 (대치동)",02-552-3524
161,강남샘약국,"서울특별시 강남구 언주로 309, 1층 (역삼동)",02-508-2333
162,강남세계로약국,"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",02-572-2720
163,강남썬약국,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",02-567-7637
164,강남씨티약국,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",02-553-1608
165,강남약국,"서울특별시 서초구 강남대로 463, 102호 (서초동,리젠타워)",070-7755-2030
166,강남약국,"서울특별시 금천구 남부순환로 1372 (독산동, 현경빌딩)",02-851-1630
167,강남약국,서울특별시 강동구 양재대로 1355,02-486-7823
168,강남엘약국,"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",02-533-7737
169,강남역2번출구약국,"서울특별시 강남구 강남대로 388, 강남센타빌딩 지하 2층 2호 (역삼동)",02-565-5490
170,강남역스타약국,"서울특별시 강남구 테헤란로4길 6, 지하1층 b106호 (역삼동)",02-6326-8908
171,강남온누리약국,"서울특별시 강남구 선릉로 406, 102호 (대치동)",02-566-6480
172,강남웰약국,"서울특별시 강남구 강남대로 432, 점프밀라노 지하1층 101호 (역삼동)",02-6440-5656
173,강남정성약국,"서울특별시 강남구 언주로 639, 1층 (논현동)",02-3446-9720
174,강남제일약국,서울특별시 강남구 테헤란로 139,02-555-7790
175,강남조은약국,"서울특별시 강남구 남부순환로361길 6, 105호 (도곡동)",02-571-9515
176,강남차차약국,"서울특별시 강남구 강남대로94길 27, 1층 105호 (역삼동)",02-6465-4152
177,강남태평양약국,"서울특별시 강남구 선릉로 309, SJ빌딩 1층 (역삼동)",02-555-2017
178,강남퍼스트약국,"서울특별시 강남구 도산대로 104 (논현동, 1st Avenue)",02-515-7292
179,강남프라자약국,"서울특별시 강남구 학동로 323 (논현동, 한미빌딩)",02-514-4222
180,강남허브약국,서울특별시 강남구 학동로 342,02-3014-9272
181,강동더본약국,"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",02-477-8280
182,강동메디칼약국,서울특별시 강동구 올림픽로 686,02-483-0108
183,강동미래약국,서울특별시 강동구 올림픽로 782,02-442-6263
184,강동보건약국,서울특별시 강동구 성내로 40  (성내동),02-488-4100
185,강동새경희약국,"서울특별시 강동구 동남로73길 13, 1층 (명일동)",02-3428-0100
186,강동성실약국,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",02-478-7001
187,강동소망약국,"서울특별시 강동구 천호대로 1111, 1층 (길동, 정우빌딩)",02-487-6464
188,강동솔약국,"서울특별시 강동구 양재대로 1473, 희헌타워 1층 (길동)",02-474-2696
189,강동온누리약국,"서울특별시 강동구 양재대로 1570, 미래빌딩 1층 (명일동)",02-2135-7572
190,강동우리약국,"서울특별시 강동구 천호대로173길 12, EY빌딩 (길동)",02-479-1150
191,강동원약국,"서울특별시 강동구 동남로 891, 103호 (명일동)",02-6081-0101
192,강동웰빙약국,"서울특별시 강동구 천호대로 1124, 1층 (성내동)",02-473-4959
193,강동천사약국,"서울특별시 강동구 올림픽로 806, 1층 104호 (암사동, 까사팔공육)",02-2359-3974
194,강동태평양약국,서울특별시 강동구 양재대로 1343 (성내동),02-473-3377
195,강동포도약국,서울특별시 강동구 진황도로 74 (천호동),02-423-3005
196,강동프라자약국,"서울특별시 강동구 올림픽로 624, 강동메디컬센터 1층 (성내동)",02-470-0203
197,강동한우리약국,서울특별시 강동구 올림픽로 778,02-481-3237
198,강동해오름약국,서울특별시 강동구 양재대로 1589,02-474-4666
199,강림약국,서울특별시 동작구 시흥대로 668-2 (신대방동),02-832-8975
200,강변그랜드약국,서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층,02-447-4842
201,강북김약국,"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",02-980-1717
202,강북다모아약국,서울특별시 강북구 도봉로 79 (미아동),02-945-2088
203,강북메디칼약국,서울특별시 강북구 도봉로 190 (미아동),02-981-9512
204,강북열린약국,"서울특별시 동대문구 전농로 110, 1층 (답십리동)",02-2248-5023
205,강북우리약국,"서울특별시 강북구 한천로 1081, 1층 (수유동)",02-900-8345
206,강북제일약국,"서울특별시 강북구 도봉로37길 7, 1층 (미아동)",02-985-3116
207,강빛약국,"서울특별시 강동구 아리수로93나길 26, 성산타워 109,110호 (강일동)",02-6949-5111
208,강서메디칼약국,"서울특별시 강서구 까치산로4길 3, 1층 (화곡동)",02-2602-4567
209,강서보건약국,"서울특별시 강서구 양천로30길 123-28, 1층 (마곡동)",02-2058-7501
210,강서약국,"서울특별시 강서구 등촌로 75, 지덕빌딩 (등촌동)",02-2644-2154
211,강서연세약국,"서울특별시 강서구 화곡로 346, 103호 (화곡동,귀뚜라미홈시스텔)",02-2606-1531
212,강서자이온누리약국,"서울특별시 강서구 양천로 401, 109-2호 (가양동, 강서한강자이타워A동)",02-2638-5233
213,강서종로약국,서울특별시 강서구 강서로 257  (내발산동),02-2606-8268
214,강서튼튼약국,"서울특별시 강서구 마곡서로 56, 마곡에스비타워Ⅲ 1층 103호 (마곡동)",02-2662-4904
215,강서홈약국,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",02-2659-1823
216,강약국,"서울특별시 양천구 화곡로 105, (신월동)",02-2698-3027
217,강약국,"서울특별시 서대문구 세검정로1길 7, (홍은동)",02-396-9677
218,강약국,서울특별시 강동구 올림픽로80길 43,02-477-0940
219,강약국,"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",02-816-8766
220,강원약국,서울특별시 성북구 아리랑로 117-7 (정릉동),02-914-8814
221,강원약국,"서울특별시 관악구 대학길 36, (신림동)",02-874-4575
222,강일수약국,"서울특별시 강동구 아리수로93나길 54, 경서프라자 103호 (강일동)",02-428-4070
223,강일약국,서울특별시 강동구 아리수로97길 19,02-426-8192
224,강일윤약국,"서울특별시 강동구 아리수로93나길 60, 골드프라자 109호 (강일동)",02-3427-2081
225,개나리봄약국,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 26호 (역삼동)",02-501-8284
226,개롱약국,"서울특별시 송파구 오금로 396, 1층 114호 (가락동, 에스케이허브파크)",02-407-4609
227,개미약국,서울특별시 성북구 장월로 128 (장위동),02-915-7770
228,개봉지예당약국,서울특별시 구로구 고척로 123-1 (개봉동),02-2681-0292
229,개성약국,"서울특별시 구로구 경인로 176, 308호 (오류동, 시티월드)",02-2615-1862
230,개포메디칼약국,서울특별시 강남구 개포로 303,02-574-5410
231,개포이화약국,"서울특별시 강남구 영동대로 22, S401동 0412호 (일원동, 디에이치 자이 개포)",02-459-7320
232,개포종로온누리약국,"서울특별시 강남구 선릉로 42, 1층 (개포동)",02-575-2485
233,개포플러스약국,"서울특별시 강남구 선릉로 30, 개포빌딩 1층 (개포동)",02-579-2570
234,개화약국,서울특별시 강서구 양천로 31,02-2662-8028
235,갤러리아온누리약국,서울특별시 강남구 선릉로 843 107호,02-517-0129
236,갤러리약국,서울특별시 강남구 학동로20길 55 106호,02-6227-5578
237,갤러리약국,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스)",02-412-8579
238,거북당약국,서울특별시 서대문구 응암로 53,02-372-0744
239,거여서울약국,"서울특별시 송파구 오금로 505, (거여동)",02-2043-3800
240,거평원온누리약국,"서울특별시 강남구 봉은사로 129, 지하1층 (논현동, 거평타운)",02-544-4567
241,건강과행복이열리는약국,"서울특별시 노원구 한글비석로 242, 113호, 114호 (중계동, 삼부프라자)",02-933-9696
242,건강과행복이열리는약국,서울특별시 서초구 서초대로 307  (서초동),02-591-3399
243,건강과행복이열리는중앙메디칼약국,"서울특별시 동작구 흑석로 106-5, 1층 (흑석동)",02-811-1700
244,건강밝은약국,"서울특별시 은평구 연서로 216, (대조동)",02-388-4253
245,건강백세약국,서울특별시 중구 서소문로 12 (중림동),02-392-7855
246,건강비타민약국,서울특별시 강북구 솔매로 59 (미아동),02-984-4777
247,건강샘약국,"서울특별시 은평구 갈현로 300, 206호 (갈현동)",02-356-6307
248,건강샘약국,"서울특별시 송파구 백제고분로 275, 1층 (석촌동)",070-8872-6902
249,건강샘온누리약국,"서울특별시 강서구  까치산로  73, 1층 (화곡동)",02-2062-0155
250,건강샘온누리약국,"서울특별시 노원구 동일로243길 33, 1층 (상계동)",02-931-5688
251,건강샘온누리약국,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 2층 219호 (신도림동)",02-3439-8373
252,건강약국,"서울특별시 종로구 혜화로 2, 1층 (혜화동)",02-764-9918
253,건강약국,"서울특별시 서대문구 가재울로6길 53-61, 1층 (남가좌동)",02-373-4439
254,건강약국,"서울특별시 마포구 방울내로 70, (망원동)",02-333-2090
255,건강약국,"서울특별시 동대문구 왕산로 176, 2층 (전농동)",02-2282-4830
256,건강약국,서울특별시 동작구 만양로 5 (상도동),02-3280-2828
257,건강약국,서울특별시 성북구 동소문로 71 (동소문동6가),02-935-7971
258,건강약국,"서울특별시 도봉구 도당로 109, 방학동상가주택 1층 102호 (방학동)",02-3492-3588
259,건강약국,"서울특별시 관악구 남부순환로 1539, (신림동)",02-855-2883
260,건강약국,"서울특별시 송파구 백제고분로 162, 대양빌딩 1층 103호 (잠실동)",02-424-3223
261,건강약국,"서울특별시 영등포구 당산로 164, (당산동4가)",02-2631-6396
262,건강약국,서울특별시 양천구 곰달래로5길 30,02-2697-0485
263,건강약국,"서울특별시 노원구 화랑로 463, (공릉동)",02-978-7597
264,건강약국,"서울특별시 중랑구 신내로 135, 신내9단지아파트 제상가1동 1층 117호 (신내동)",02-3421-7582
265,건강온누리약국,서울특별시 강서구 곰달래로 271 (화곡동),02-2642-0012
266,건강온누리약국,서울특별시 양천구 오목로 350,02-2645-5538
267,건강온누리약국,서울특별시 강남구 삼성로 212,02-562-1377
268,건강온누리약국,"서울특별시 관악구 남부순환로 1715, 101호 (봉천동, 신우빌딩)",070-7740-3349
269,건강온누리약국,서울특별시 구로구 고척로21나길 18 (개봉동),02-2625-3337
270,건강온누리약국,서울특별시 동작구 상도로 202 (상도동),02-815-1120
271,건강제일녹십자약국,"서울특별시 도봉구 해등로 190, (쌍문동)",02-906-1024
272,건강제일온누리약국,"서울특별시 중랑구 동일로 786, 1층 (중화동)",02-491-1114
273,건강프라자약국,"서울특별시 송파구 백제고분로 216, 청송빌딩 (삼전동)",02-417-0910
274,건강플러스약국,서울특별시 금천구 시흥대로 391  (독산동),02-890-8058
275,건강플러스약국,서울특별시 강동구 아리수로93길 27 ,02-427-8056
276,건강플러스약국,서울특별시 노원구 상계로1길 38 (상계동),02-935-5347
277,건강한생활약국,"서울특별시 노원구 노해로 490, 길빌딩 1층 107호 (상계동)",02-6203-4900
278,건강한세상대한약국,"서울특별시 영등포구 국제금융로 108 (여의도동,은하빌딩 1층)",02-786-1091
279,건강한세상약국,"서울특별시 종로구 새문안로 21, 1,2,3,지하1층 (평동)",02-733-7870
280,건강한세상약국,서울특별시 은평구 증산로15길 7,02-376-1824
281,건강한약국,"서울특별시 성북구 동소문로42길 14, 1층 (하월곡동)",02-916-6445
282,건강한약국,서울특별시 광진구 천호대로 655 (중곡동),02-945-6363
283,건강한약국,"서울특별시 동대문구 왕산로32길 7, 4층 6호 (용두동)",02-957-9784
284,건강한약국,서울특별시 금천구 남부순환로 1384,02-866-1191
285,건강한약국,"서울특별시 성동구 왕십리로 320, 1층 101호 (도선동)",02-2231-8803
286,건강한약국,"서울특별시 노원구 석계로9길 25, 1층 오른쪽점포호 (월계동)",02-919-1206
287,건강한약국,서울특별시 강동구 구천면로 231,02-487-4112
288,건강한약국,"서울특별시 은평구 진관2로 57-7 B105호 (진관동, 은평뉴타운우물골)",02-352-1658
289,건강한약국,"서울특별시 용산구 효창원로93길 2, (청파동2가)",02-3273-0750
