,약국명,주소,전화번호
20,강남보선약국,서울특별시 강남구 도곡로 516  (대치동),02-568-2310
21,강남새천년온누리약국,"서울특별시 강남구 도곡로 523, 1층 (대치동)",02-552-3524
22,강남세계로약국,"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",02-572-2720
23,강남썬약국,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",02-567-7637
24,강남씨티약국,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",02-553-1608
25,강남웰약국,"서울특별시 강남구 강남대로 432, 점프밀라노 지하1층 101호 (역삼동)",02-6440-5656
26,강동성실약국,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",02-478-7001
27,강동태평양약국,서울특별시 강동구 양재대로 1343 (성내동),02-473-3377
28,강동한우리약국,서울특별시 강동구 올림픽로 778,02-481-3237
29,강림약국,서울특별시 동작구 시흥대로 668-2 (신대방동),02-832-8975
30,강서약국,"서울특별시 강서구 등촌로 75, 지덕빌딩 (등촌동)",02-2644-2154
31,강서종로약국,서울특별시 강서구 강서로 257  (내발산동),02-2606-8268
32,강서홈약국,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",02-2659-1823
33,강원약국,"서울특별시 관악구 대학길 36, (신림동)",02-874-4575
34,개화약국,서울특별시 강서구 양천로 31,02-2662-8028
35,갤러리약국,서울특별시 강남구 학동로20길 55 106호,02-6227-5578
36,건강백세약국,서울특별시 중구 서소문로 12 (중림동),02-392-7855
37,건강약국,"서울특별시 관악구 남부순환로 1539, (신림동)",02-855-2883
38,건강약국,"서울특별시 영등포구 당산로 164, (당산동4가)",02-2631-6396
39,건강플러스약국,서울특별시 금천구 시흥대로 391  (독산동),02-890-8058
40,건강한약국,서울특별시 광진구 천호대로 655 (중곡동),02-945-6363
41,건강한약국,"서울특별시 동대문구 왕산로32길 7, 4층 6호 (용두동)",02-957-9784
42,건강한약국,"서울특별시 노원구 석계로9길 25, 1층 오른쪽점포호 (월계동)",02-919-1206
43,건대가온약국,"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",02-453-4669
44,건대역약국,서울특별시 광진구 아차산로 218 (자양동),02-497-4337
45,건민약국,"서울특별시 노원구 동일로191길 23, 1층 (공릉동)",02-975-1254
46,경남약국,"서울특별시 양천구 목동서로 38, 상가A동 107호, 113호 (목동, 목동신시가지아파트1단지)",02-2647-3012
47,경애약국,서울특별시 동대문구 사가정로25길 18 (장안동),02-2212-8941
48,경인약국,서울특별시 용산구 새창로14길 50 (용문동),02-715-6083
49,경일약국,서울특별시 종로구 평창문화로 35  (평창동),02-391-3469
50,경하프라자약국,"서울특별시 은평구 서오릉로 157, (구산동)",02-385-7271
51,계산온누리약국,"서울특별시 성북구 동소문로20길 43, 1층 (동선동1가)",02-925-4551
52,고래약국,"서울특별시 마포구 신촌로 지하 90, 신촌역 B1 240-107호 (노고산동)",02-333-7967
53,고려약국,"서울특별시 강동구 천호대로 1125, (길동)",02-477-5257
54,고바우약국,서울특별시 송파구 마천로41길 21 (마천동),02-402-0730
55,고성희약국,서울특별시 금천구 금하로24길 57 ,02-808-3616
56,고연뿌리약국,"서울특별시 서초구 신반포로 지하 188, 지하1층 (반포동, 강남고속터미널역)",02-534-7500
57,고운마음약국,"서울특별시 강서구 양천로 500, 등촌동노블리움오피스텔 115호 (등촌동)",02-3663-7779
58,곰돌이스타약국,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",02-595-8795
59,관악이화약국,"서울특별시 관악구 봉천로 281, 1층(봉천동)",02-885-0456
60,광교약국,"서울특별시 종로구 청계천로 49, (관철동)",02-734-4690
61,광장온누리약국,"서울특별시 관악구 신림로 107, 1층 (신림동)",02-886-3509
62,광주약국,"서울특별시 동작구 동작대로 127, 1층 (사당동)",02-591-0075
63,광주약국,서울특별시 관악구 관악로 268,02-884-2000
64,광진제일큰약국,"서울특별시 광진구 자양로 164, 하림빌딩 1층 (구의동)",02-6215-2225
65,광해약국,서울특별시 광진구 능동로 298,02-447-8188
66,교보약국,서울특별시 관악구 남부순환로 1827 ,02-878-7582
67,구로2호선약국,"서울특별시 구로구 도림천로 477, 구로디지털단지역 지상1층 001호 (구로동)",070-7672-0012
68,구로종로약국,서울특별시 구로구 경인로 193  (오류동),02-2688-0155
69,구로프라자온누리약국,"서울특별시 구로구 개봉로 30 (개봉동, 로얄타워)",0226136044
70,구로행복약국,"서울특별시 관악구 조원로 20, 101호 (신림동)",02-868-1653
71,구산약국,"서울특별시 중랑구 공릉로2길 7, 구산빌딩 (묵동)",02-974-4925
72,구약국,서울특별시 관악구 관악로14길 52,02-872-7542
73,국일약국,서울특별시 종로구 종로16길 12 (관철동),02-2275-7225
74,국제약국,서울특별시 용산구 한강대로 290-1,02-794-0705
75,군자백화점약국,"서울특별시 광진구 천호대로 574, (능동)",02-3436-2088
76,굿모닝약국,서울특별시 서초구 신반포로 176,02-6282-1213
77,굿모닝약국,서울특별시 영등포구 여의대방로 379,02-783-9484
78,굿약국,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 (서초동)",02-535-8233
79,그랜드약국,"서울특별시 광진구 아차산로29길 55, (화양동)",02-462-8447
80,그린약국,"서울특별시 강서구 수명로 78, 새롬프라자 104호 (내발산동)",02-2667-6643
81,그린약국,"서울특별시 관악구 남부순환로 1740, 명당빌딩 1층 (봉천동)",02-888-4959
82,금강온누리약국,서울특별시 영등포구 영중로 10-1 (영등포동3가),02-2678-5869
83,금성당약국,"서울특별시 광진구 긴고랑로 115, (중곡동)",02-444-0159
84,금성약국,"서울특별시 광진구 자양로 112, (구의동)",02-447-1500
85,금왕약국,"서울특별시 종로구 창신5길 19, (창신동)",02-763-5493
86,기린약국,서울특별시 서초구 잠원로 24 반포자이프라자상가 1층,050-71316-7241
87,기분좋은약국,"서울특별시 관악구 은천로 110, 1층 (봉천동, 더블유에스타워)",02-872-2378
88,기쁨약국,서울특별시 강남구 개포로 228,02-574-1087
89,기호약국,"서울특별시 광진구 군자로 25, (화양동)",02-463-8050
90,길동보룡약국,서울특별시 강동구 양재대로 1478 (길동),02-477-4114
91,김약국,서울특별시 양천구 지양로 75,02-2603-4285
92,나이스약국,"서울특별시 서초구 강남대로 421, 삼영빌딩 1층 (서초동)",02-594-0503
93,나인약국,"서울특별시 서초구 서초대로77길 3, 아라타워 124호 (서초동)",02-537-0999
94,나현약국,"서울특별시 노원구 상계로12길 41, (상계동)",02-936-7718
95,남구로약국,서울특별시 구로구 구로동로 33 (가리봉동),02-838-3104
96,노바약국,서울특별시 강남구 강남대로118길 51 ,02-542-3696
97,노원약국,"서울특별시 노원구 노해로 501, 노원빌딩 1층 103호 (상계동)",02-933-7832
98,녹수프라자약국,서울특별시 금천구 독산로 213,02-802-1510
99,녹십자약국,서울특별시 강서구 화곡로64길 78,02-3662-6143
100,녹십자약국,서울특별시 송파구 올림픽로 130  (잠실동),02-424-7434
101,논현밝은약국,"서울특별시 강남구 강남대로122길 10, 영흥빌딩 1층 일부호 (논현동)",02-2135-2846
102,논현필리아약국,서울특별시 강남구 선릉로 641,02-540-7582
103,뉴석계프라자약국,서울특별시 노원구 석계로 2,02-914-5555
104,뉴욕약국,서울특별시 강남구 테헤란로 107,070-4147-3039
105,뉴타운메디컬약국,"서울특별시 은평구 진관3로 70, 821동 상가 115호 (진관동, 은평뉴타운상림마을)",02-357-0777
106,뉴프라임약국,"서울특별시 송파구 송파대로 278, 1층 (가락동)",02-403-2638
107,늘한마음약국,"서울특별시 노원구 노해로 494, 1층 109호 (상계동)",02-3392-5406
108,다나약국,"서울특별시 용산구 후암로 43-2, 1층 (후암동)",02-753-0692
109,다나약국,"서울특별시 영등포구 가마산로 439-1, (신길동)",02-832-1205
110,다나약국,"서울특별시 서초구 효령로 229, 서울빌딩 1층 (서초동)",02-597-3514
111,다나약국,"서울특별시 마포구 대흥로 186-2, 1층 (대흥동)",02-715-3133
112,다나온누리약국,서울특별시 관악구 관악로 240 1층 (봉천동),02-886-4207
113,다마트약국,서울특별시 강서구 금낭화로 135,02-2665-0181
114,다산온누리약국,"서울특별시 중구 다산로 133-1, 1층 (신당동)",02-2233-5912
115,다정약국,서울특별시 노원구 한글비석로 332,02-951-5567
116,단골약국,서울특별시 동작구 보라매로 61-1 (신대방동),02-821-3157
117,단골온누리약국,서울특별시 종로구 지봉로 50 (숭인동),02-745-0731
118,당고개약국,"서울특별시 노원구 상계로 309-1, (상계동)",02-930-5142
119,대교약국,"서울특별시 송파구 가락로 153, 1층 (송파동)",02-414-8275
120,대남약국,서울특별시 동작구 상도로22길 26 (상도동),02-822-3502
121,대동약국,"서울특별시 관악구 관악로 185, 1층 (봉천동)",02-877-0453
122,대명약국,"서울특별시 영등포구 영신로19길 7, (영등포동)",02-844-5433
123,대성약국,서울특별시 관악구 청림길 8 (봉천동),02-877-3024
124,대영약국,"서울특별시 도봉구 도봉로129길 26, (쌍문동)",02-904-0403
125,대우당약국,서울특별시 동작구 상도로 102 (상도동),02-822-2682
126,대우사약국,서울특별시 중구 세종대로 22 (남대문로5가),02-753-2703
127,대원사약국,"서울특별시 중랑구 중랑역로 90, 대원메디컬빌딩 (중화동)",02-433-3400
128,대유약국,"서울특별시 서대문구 모래내로 359, (홍은동)",02-379-4415
129,대일약국,서울특별시 동작구 동작대로27길 22 (사당동),02-591-4655
130,대자연약국,"서울특별시 강동구 구천면로 291, (천호동)",02-474-7576
131,대중약국,"서울특별시 성동구 왕십리로 375-1, (하왕십리동)",02-2292-4418
132,대청약국,"서울특별시 강남구 개포로 623, 대청타워 106호 (개포동)",02-3412-0106
133,대치약국,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",02-6954-1778
134,대치필리아약국,서울특별시 강남구 도곡로63길 12  (대치동),02-508-6116
135,대풍약국,서울특별시 중구 동호로11길 43 (신당동),02-2252-3944
136,대풍약국,서울특별시 성동구 사근동길 6,02-2296-8899
137,대학당약국,서울특별시 관악구 원신길 2-1,02-878-7497
138,대학솔약국,"서울특별시 동대문구 안암로 158, 1층 (제기동)",02-923-3338
139,대흥365약국,"서울특별시 마포구 백범로 98, 1층 (대흥동)",02-713-2060
140,대흥약국,"서울특별시 영등포구 신길로39길 13, (신길동)",02-832-1894
141,더샾스타시티약국,서울특별시 광진구 아차산로 272  (자양동),02-2024-1311
142,더밝은약국,"서울특별시 성동구 마조로9길 15, 1층 (행당동)",02-2281-7923
143,더클래식약국,"서울특별시 광진구 능동로 90, 1층 104-2호 (자양동, 더클래식500)",02-455-4565
144,덕성그린약국,"서울특별시 강북구 삼양로 530, 1층 (우이동)",02-6397-9974
145,도곡타워약국,"서울특별시 강남구 언주로30길 21, B1층 101-24A호 (도곡동, 아카데미스위트)",02-529-2916
146,도래약국,서울특별시 송파구 마천로 341 (마천동),02-2236-1470
147,도봉태평양약국,서울특별시 도봉구 도봉로 821,02-955-6228
148,도영약국,"서울특별시 송파구 오금로 507, 거여빌딩 1층 (거여동)",02-404-7355
149,도원약국,"서울특별시 성동구 장터길 45-1, (금호동3가)",02-2252-3942
150,도일약국,"서울특별시 서초구 사평대로55길 10, (반포동)",02-548-2348
151,독산종로약국,서울특별시 금천구 독산로 360,02-839-8197
152,돌곶이온누리약국,"서울특별시 성북구 화랑로 248, 장위뉴타워 102호, 102-1호 (석관동)",02-967-5555
153,동경약국,"서울특별시 마포구 신촌로16길 4, 1층 101호 (노고산동)",02-334-7668
154,동광약국,서울특별시 동작구 동작대로 129 (사당동),02-534-7575
155,동남약국,"서울특별시 종로구 종로 124, (종로3가)",02-2273-3233
156,동남약국,"서울특별시 중랑구 신내로 45, 해성빌딩 1층 (신내동)",02-2207-3356
157,동명온누리약국,"서울특별시 강남구 선릉로64길 5 (대치동, 라이온스빌딩)",02-555-1950
158,동보약국,서울특별시 영등포구 영중로 22  (영등포동3가),02-2678-0362
159,동부약국,서울특별시 용산구 이촌로 245,02-795-6242
160,동서울약국,"서울특별시 광진구 강변역로 50, 동서울종합터미널 124호 (구의동)",02-452-0015
161,동성약국,"서울특별시 중랑구 겸재로 84, (면목동)",02-432-1653
162,동성약국,서울특별시 구로구 디지털로19길 51,02-854-3357
163,동아약국,"서울특별시 동대문구 서울시립대로 31, 102-119호 (전농동, 동아아파트)",02-2214-7937
164,동아약국,서울특별시 중랑구 동일로130길 52  (중화동),02-434-6683
165,동아약국,서울특별시 강남구 강남대로66길 14  (역삼동),02-539-7030
166,동의삼성약국,서울특별시 송파구 거마로22길 49  (마천동),02-400-2636
167,동해물약국,"서울특별시 서초구 동광로12가길 42, 1층 (방배동)",02-594-3141
168,동현약국,"서울특별시 강동구 양재대로127길 19, (천호동)",02-472-7722
169,두산약국,서울특별시 관악구 봉천로 391 (봉천동) ,02-888-2369
170,드림약국,"서울특별시 서초구 서초중앙로22길 8, 행림약품 1층 2호 (서초동)",02-522-5776
171,드림약국,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 128-2호 (영등포동4가)",02-2068-1636
172,디엠씨4번출구약국,서울특별시 은평구 수색로 지하 175 1층 003호,02-2039-0190
173,라미약국,"서울특별시 송파구 올림픽로8길 20, 잠실아이파크 1층 A115호 (잠실동)",02-412-0199
174,라온약국,"서울특별시 송파구 올림픽로 240, 잠실지하광장 지하도상가 1호 (잠실동)",02-3431-4485
175,래미안온누리약국,서울특별시 영등포구 당산로 214,02-2675-5250
176,로데오약국,서울특별시 양천구 신정중앙로23길 3,02-2606-2567
177,롱약국,"서울특별시 마포구 양화로 지하 55, 합정역 B1  238-105호 (서교동)",070-8098-4603
178,르씨엘약국,"서울특별시 강남구 학동로 215, 101호,107호 (논현동)",02-540-0047
179,리드팜힘찬약국,"서울특별시 관악구 은천로 109, 1층 (봉천동)",02-885-7422
180,마곡아임약국,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동)",07086158032
181,마곡하나약국,"서울특별시 강서구 강서로 385, 106호 (마곡동, 우성에스비타워)",02-3664-0319
182,마래푸약국,"서울특별시 마포구 신촌로34길 37, 1층 (아현동)",02-362-2080
183,마장백화점약국,"서울특별시 동대문구 고산자로 410, 1층 (용두동)",02-962-1161
184,마천푸른솔약국,"서울특별시 송파구 거마로 60, 1층(마천동)",02-409-6704
185,마트온누리약국,서울특별시 양천구 오목로 299,02-2651-3467
186,맑은샘약국,서울특별시 동대문구 천호대로83길 39 (장안동),02-422-5060
187,맑은약국,"서울특별시 강서구 양천로 600, 1층 (등촌동)",02-2083-0456
188,맑은약국,서울특별시 영등포구 당산로 42,02-2165-8210
189,맑은약국,서울특별시 구로구 경인로40길 47,02-2617-2190
190,맑음약국,"서울특별시 관악구 남부순환로 1635, 1층 (신림동)",02-877-0113
191,맘이편한약국,"서울특별시 관악구 신림로 357, 1층 (신림동)",02-888-8848
192,망원시장약국,"서울특별시 마포구 월드컵로13길 56, 1층 (망원동)",02-790-7527
193,매일여는약국,서울특별시 양천구 목동동로 233-1 (목동) ,02-2061-3650
194,매일여는약국,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 B1094호 (상암동)",02-2132-8365
195,매일여는약국,"서울특별시 중랑구 망우로 346, 101동 103호 (상봉동, 한일써너스빌)",02-434-2422
196,매일여는온누리약국,"서울특별시 송파구 백제고분로 187, 1층 103,104호 (잠실동, 파크인수)",02-3432-0365
197,메디칼건강약국,서울특별시 강서구 양천로 104 (방화동),02-2661-3337
198,메디칼바른약국,"서울특별시 구로구 공원로7길 40, 1층 (구로동, 대영빌딩)",02-866-1914
199,메디칼약국,"서울특별시 관악구 은천로25길 69, 1층(봉천동,삼성프라자)",02-883-4227
200,메디칼약국,"서울특별시 마포구 월드컵로14길 5, (서교동)",02-3141-4757
201,메디팜건강약국,"서울특별시 도봉구 도봉로 487, 1층 (쌍문동)",02-906-1800
202,메디팜건강약국,서울특별시 은평구 수색로 270-1,02-372-9791
203,메디팜금성약국,"서울특별시 양천구 남부순환로40가길 15-1, (신월동)",02-2605-7281
204,메디팜대안약국,서울특별시 금천구 시흥대로 352,02-803-8452
205,메디팜미래로약국,"서울특별시 용산구 청파로47길 40, (청파동2가)",02-713-8716
206,메디팜미래로약국,"서울특별시 강동구 천호대로 1467, (상일동)",02-426-4793
207,메디팜신마포약국,"서울특별시 마포구 창전로 45, 103동 108호 (창전동, 서강한화오벨리스크 단지내 상가)",02-706-7656
208,메디팜신정교약국,"서울특별시 양천구 신목로 36, 102호 (신정동, 대보빌딩)",02-2649-8275
209,메디팜엔비약국,"서울특별시 동작구 노량진로 152, . 1층 (노량진동)",02-811-7723
210,메디팜우리약국,"서울특별시 송파구 올림픽로 119, 1층 A12호 (잠실동, 파인애플상가 1층 A12호)",02-414-5747
211,메디팜은강약국,서울특별시 서초구 잠원로14길 29  (잠원동),02-593-3245
212,메디팜일진약국,서울특별시 성동구 용답중앙길 80-1 ,02-2245-3665
213,메디팜정다운약국,"서울특별시 강서구 마곡중앙5로 87, 107호 (마곡동, 우성르보아투)",02-2664-1088
214,메디팜정원약국,서울특별시 강동구 천호대로 1200,02-477-6126
215,메디피아약국,"서울특별시 강남구 강남대로 242, 1층(도곡동, 크리스탈빌딩)",02-3463-1547
216,면목백화점약국,서울특별시 중랑구 용마산로 328 (면목동),02-2207-4636
217,명생약국,서울특별시 송파구 백제고분로41길 31 (송파동),02-422-1394
218,명성약국,서울특별시 마포구 월드컵로 87,02-332-4603
219,명수약국,서울특별시 금천구 시흥대로138길 13,02-854-6846
220,명신약국,서울특별시 금천구 탑골로 18 ,02-807-8767
221,명심약국,서울특별시 강남구 개포로 207  (개포동),02-575-5867
222,명일마트종로약국,"서울특별시 강동구 고덕로 276, 지하1층 (명일동, 이마트명일점)",02-428-7845
223,명진팜약국,"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 110호 (마곡동)",02-6326-7353
224,모두약국,"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",02-508-0429
225,목동세명약국,서울특별시 양천구 목동중앙북로 27,02-2645-7525
226,목동행복한약국,서울특별시 양천구 목동동로 309 지하1층 (목동),02-6952-5777
227,무궁화약국,"서울특별시 노원구 한글비석로 77, 한성여객(주) (하계동)",02-971-0072
228,무지개약국,"서울특별시 광진구 뚝섬로 498-1, A,B동 1층 (자양동)",02-462-8604
229,문약국,서울특별시 용산구 독서당로 67,02-793-2296
230,미동약국,"서울특별시 강서구 월정로30길 52, (화곡동)",02-2602-4054
231,미소가득한약국,서울특별시 마포구 월드컵북로 396,02-2636-6667
232,미소약국,"서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 지하2층 (방학동)",02-954-3119
233,미주약국,"서울특별시 강서구 양천로6길 28, 상가동 108호 (방화동, 도시개발12단지아파트)",02-2665-7552
234,민생약국,"서울특별시 강남구 언주로125길 6, (논현동)",02-547-7903
235,민정약국,서울특별시 강북구 오패산로30길 41 (미아동),02-980-1244
236,믿음약국,서울특별시 관악구 봉천로 534,02-888-2104
237,바른메디칼약국,"서울특별시 강동구 상암로 31, 이에스타워 1층 (암사동)",02-3426-5384
238,바른손약국,서울특별시 동대문구 휘경로 34 (휘경동),02-3295-4274
239,바른약국,"서울특별시 영등포구 선유로 138, 롯데마트 양평점 지하1층 (양평동3가)",02-2633-2267
240,바른약국,서울특별시 강북구 노해로 95-1,02-993-9663
241,바른약국,"서울특별시 관악구 남부순환로 1714-1, (봉천동)",02-884-2850
242,박순영온누리약국,"서울특별시 송파구 마천로7길 6, 오금대림아파트 117,118호 (오금동)",02-430-3371
243,반석온누리약국,"서울특별시 영등포구 영등포로 33, 108호(양평동2가,비즈타워)",02-2632-9595
244,반포프라자약국,"서울특별시 서초구 신반포로 329, 1층 5호 (잠원동)",02-549-3668
245,발산그랜드약국,서울특별시 강서구 강서로 380,02-3663-7510
246,밝은마음약국,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)",02-6203-7770
247,밝은약국,"서울특별시 은평구 불광로 27, 1층 (대조동)",02-386-7585
248,방약국,"서울특별시 중랑구 면목로 260, 1층(면목동)",02-432-0596
249,방이종로약국,서울특별시 송파구 마천로 29 (방이동),02-3431-0440
250,방학세계로약국,"서울특별시 도봉구 방학로 159, (방학동)",02-956-3030
251,방학약국,"서울특별시 도봉구 도봉로 729, (방학동)",02-955-8822
252,백두약국,서울특별시 구로구 오류로8길 26 (오류동),02-2689-6576
253,백상약국,"서울특별시 영등포구 국제금융로6길 30, 백상빌딩 1층 103호 (여의도동)",02-780-5414
254,백세365약국,"서울특별시 강서구 마곡중앙로 55, 문영 퀸즈파크13 107호 (마곡동)",070-8829-0077
255,백세약국,"서울특별시 중랑구 신내로 82, 1층 109호 (신내동, 금강빌딩)",02-3421-7015
256,백세약국,서울특별시 도봉구 도당로15길 12,02-3492-9373
257,백온누리약국,서울특별시 광진구 면목로 174 (중곡동),02-466-4696
258,백운약국,서울특별시 도봉구 도봉로 468  (창동),02-906-0280
259,백화점약국,"서울특별시 강북구 도봉로96길 11, 1층 (번동)",02-994-1282
260,백화점약국,"서울특별시 종로구 종로 234-1, (종로5가)",02-2264-1161
261,번동종로약국,"서울특별시 강북구 오현로34길 23-4, 104호 (번동, 현대하니타운)",02-981-2030
262,번동프라자약국,서울특별시 강북구 한천로 940 (번동),02-904-2906
263,벚꽃약국,"서울특별시 영등포구 국제금융로 10, 서울 국제금융 센터 지하2층 (여의도동)",02-6137-5207
264,베스트약국,서울특별시 강남구 도곡로 423,02-569-8968
265,보광프라자약국,"서울특별시 용산구 보광로 35, (보광동)",02-796-5244
266,보라매온누리약국,서울특별시 동작구 보라매로 93 (신대방동),02-812-4881
267,보룡약국,"서울특별시 노원구 동일로 1380, 상계동 국민은행 (상계동)",02-979-6000
268,보림약국,서울특별시 동대문구 장한로 115 (장안동),02-2248-2082
269,보생사약국,"서울특별시 영등포구 영등포로 400 1층 (신길동, 신성빌딩)",02-833-2289
270,보은약국,서울특별시 광진구 영화사로 64-1,02-444-4145
271,보화당약국,서울특별시 도봉구 노해로69길 15,02-995-2929
272,봄내약국,서울특별시 관악구 신림동5길 31,02-882-8234
273,비온뒤숲속약국,"서울특별시 마포구 월드컵로 111, (망원동)",02-332-3250
274,비타민약국,서울특별시 금천구 독산로50길 84,02-892-5949
275,비트플렉스약국,"서울특별시 성동구 왕십리광장로 17 (행당동, 비트플랙스내 2층 A05,06)",02-2200-1549
276,사가정약국,"서울특별시 중랑구 사가정로51길 3, (면목동)",02-434-7234
277,사당365약국,"서울특별시 관악구 과천대로 955, 1층 (남현동)",02-588-9050
278,사당미소약국,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 3층 (남현동)",02-586-8009
279,사당소화약국,"서울특별시 동작구 동작대로 7, 1층 (사당동)",02-521-3474
280,사당역약국,"서울특별시 동작구 동작대로 지하 3, 사당역(4호선) (사당동)",02-582-4912
281,사당프라자약국,"서울특별시 동작구 사당로 230-1, 1층 (사당동, 미래빌딩)",02-3474-4170
282,사랑약국,"서울특별시 강북구 도봉로 186, 1층 (미아동)",02-993-7289
283,삼성약국,서울특별시 관악구 신원로 21,02-855-4158
284,삼성해든약국,"서울특별시 강남구 삼성로 520, 1층 (삼성동)",02-562-0361
285,삼익약국,"서울특별시 동대문구 회기로29길 35, 1층 (휘경동)",02-963-5490
286,삼일약국,서울특별시 강북구 삼양로 241,02-945-3132
287,삼일약국,"서울특별시 성동구 장터길 49, (금호동3가)",02-2234-3529
288,삼정약국,"서울특별시 용산구 원효로19길 72-1, 1층 (원효로3가)",02-712-4941
289,삼화약국,서울특별시 금천구 은행나무로 12-1,02-803-4167
290,상계1번약국,"서울특별시 노원구 한글비석로20길 23-1, 1층 (중계동)",02-938-1082
291,상계하나로약국,서울특별시 노원구 한글비석로48길 13 (상계동),02-951-2188
292,상도온누리약국,서울특별시 동작구 상도로 297 (상도1동),02-812-1322
293,상록수약국,"서울특별시 강동구 고덕로10길 53, (암사동)",02-426-7977
294,상보약국,서울특별시 성동구 동일로 83(성수동2가),02-463-7513
295,상봉햇살약국,"서울특별시 중랑구 상봉로 118, E-마트 상봉점 4층 (망우동)",02-434-8678
296,상산약국,"서울특별시 중구 퇴계로 435, 1층 (황학동)",02-2252-3354
297,상아약국,"서울특별시 강북구 도봉로 143, 광명빌딩 1층 (미아동)",02-985-3211
298,상아온누리약국,서울특별시 동작구 양녕로26길 22 (상도동),02-823-7931
299,상지온누리약국,"서울특별시 강남구 선릉로93길 8, 1층 (역삼동)",02-554-0624
300,새고운약국,"서울특별시 노원구 동일로 1003, 1층 (공릉동)",02-973-9286
301,새대우약국,"서울특별시 성동구 용답25길 14, (용답동)",02-2245-6510
302,새대우약국,"서울특별시 중랑구 동일로 852, (묵동)",02-973-3197
303,새민우약국,"서울특별시 성북구 북악산로 845, 203동 301호 (정릉동, 정릉쌍용아파트)",02-917-4275
304,새봄약국,"서울특별시 강북구 노해로 87, 1층 (수유동)",02-907-6200
305,새빛약국,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 1층 121호 (명일동)",02-441-0887
306,새생명약국,서울특별시 강남구 삼성로146길 8 1층 (청담동),02-512-3389
307,새성심약국,서울특별시 영등포구 양평로 102 ,02-2678-0139
308,새시장약국,"서울특별시 중랑구 망우로62길 81, (망우동)",02-436-7554
309,새실로암약국,서울특별시 강동구 양재대로 1619,02-427-1417
310,새열린약국,"서울특별시 서초구 강남대로 449-3, 보보빌딩 1층 (서초동)",02-536-3037
311,새우림약국,"서울특별시 중랑구 망우로62길 7, (망우동)",02-434-5614
312,새인선약국,서울특별시 성동구 광나루로11길 41-1  (송정동),02-466-4159
