title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month
특별수사: 사형수의 편지,120,15세이상,권종관,42597867144.0,5301294,2493,248,7.6,7,1,6
착한 여비서의 목적,70,18세이상,김효재,2879000.0,559,20,29,3.0,1,1,5
아가씨,144,18세이상,박찬욱,386000000000.0,46923170,4756,434,6.8,8,4,6
박쥐,133,18세이상,박찬욱,14844126500.0,2206616,2000,308,5.5,8,4,4
공동경비구역 JSA,110,15세이상,박찬욱,7572700.0,1009,1,26,9.0,8,4,9
친절한 금자씨,112,18세이상,박찬욱,20489473593.0,3120481,2000,187,7.4,8,4,7
복수는 나의 것,121,18세이상,박찬욱,8652000.0,1207,1,126,8.1,8,4,3
굿바이 싱글,119,15세이상,김태곤,72056046075.0,8959526,2951,226,7.5,8,3,6
봉이 김선달,120,12세이상,박대민,104000000000.0,13063327,2900,336,6.7,8,3,7
사냥,92,15세이상,이우철,18725001960.0,2462944,1590,289,4.0,6,1,6
젊은엄마 : 디 오리지널,84,18세이상,정도수,2670000.0,516,20,33,6.9,6,1,6
빅뱅 메이드,114,12세이상,변진호,2469196900.0,293461,203,104,8.9,3,1,6
트릭,94,15세이상,이창열,834064100.0,107125,733,124,6.3,2,1,7
부산행,118,15세이상,연상호,1030000000000.0,127121333,7142,484,7.3,10,2,7
염력,101,15세이상,연상호,36250751905.0,4794454,2418,735,5.4,10,2,1
인천상륙작전,110,12세이상,이재한,438000000000.0,55997943,4607,658,5.6,9,4,7
인천상륙작전 : 익스텐디드 에디션(확장판),140,15세이상,이재한,638755100.0,77892,237,6,9.14,9,1,9
덕혜옹주,126,12세이상,허진호,522000000000.0,65671599,4761,462,7.3,9,3,8
천문: 하늘에 묻는다,132,12세이상,허진호,19177275150.0,2327191,2316,717,8.3,9,3,12
터널,126,12세이상,김성훈,342000000000.0,42221217,5002,369,7.2,10,1,8
공조,125,15세이상,김성훈,405000000000.0,49594953,6414,426,7.2,10,4,1
뽀로로 극장판 공룡섬 대모험,78,전체관람가,김성훈,48556996000.0,6425681,2640,269,8.4,10,1,12
"시발, 놈: 인류의 시작",71,15세이상,백승기,6370200.0,827,13,42,4.7,1,1,8
"고산자, 대동여지도",129,전체관람가,강우석,40360787887.0,5028184,2282,514,7.3,6,4,9
올레,103,15세이상,채두병,1453161700.0,184281,704,203,6.9,3,3,8
밀정,139,15세이상,김지운,429000000000.0,52394697,6109,444,7.7,10,2,9
인랑,138,15세이상,김지운,40856251371.0,5242289,1986,881,4.6,10,2,7
달빛궁궐,80,전체관람가,김현주,8380158800.0,1111071,924,243,5.8,4,1,9
살인의 추억,127,15세이상,봉준호,99196888.0,15428,50,150,9.4,10,4,4
마더,128,18세이상,봉준호,39967968600.0,5962574,2500,357,8.1,10,1,5
기생충,131,15세이상,봉준호,917000000000.0,107371684,8982,623,7.9,10,4,5
아수라,132,18세이상,김성수,116000000000.0,14636637,3524,496,6.8,8,4,9
물레방아,92,12세이상,이만희,2010000.0,1005,3,7,9.0,6,1,11
럭키,112,15세이상,이계벽,375000000000.0,46200810,6757,409,7.0,10,1,10
"힘을 내요, 미스터 리",110,12세이상,이계벽,86674227454.0,10268319,2798,474,7.7,10,3,9
걷기왕,92,12세이상,백승화,4607459625.0,610342,1056,209,6.9,3,3,10
사랑하기 때문에,110,12세이상,주지홍,12852605000.0,1630347,1364,243,7.8,2,2,1
혼숨,88,15세이상,이두환,8066325811.0,1030022,1289,208,6.2,5,2,10
스플릿,121,15세이상,최국희,27373397086.0,3382319,2177,223,7.6,8,3,11
국가부도의 날,114,12세이상,최국희,188000000000.0,22821542,4602,382,8.1,8,4,11
가려진 시간,129,12세이상,엄태화,26524658267.0,3420930,2097,419,7.6,5,3,11
형,109,12세이상,권수경,161000000000.0,20753583,3915,321,7.3,9,4,11
아더왕의 전설,127,전체관람가,정성복,7473500.0,493,5,0,8.93,2,1,11
노트르담 드 파리,129,전체관람가,정성복,73353500.0,5994,38,1,8.5,2,1,11
미씽: 사라진 여자,99,15세이상,이언희,40149620085.0,5205783,2330,272,7.6,8,2,11
탐정: 리턴즈,116,15세이상,이언희,185000000000.0,21555983,4770,307,7.4,8,3,6
두 남자,91,18세이상,이성태,1317348463.0,172300,769,126,6.3,5,3,11
양자물리학,119,15세이상,이성태,21197894250.0,2591447,1950,377,8.5,5,3,9
암살,139,15세이상,최동훈,98465102781.0,12706341,2900,511,8.5,10,1,7
목숨 건 연애,103,15세이상,송민규,1012976600.0,134362,726,310,5.1,3,1,12
마스터,142,15세이상,조의석,527000000000.0,64882973,5824,427,7.2,9,1,12
더 킹,134,15세이상,한재림,218000000000.0,26587926,4908,449,7.5,10,2,1
음란 과외 - 무삭제판,93,18세이상,최우성,842000.0,165,19,1,3.0,1,1,1
음란 선비 - 무삭제판,90,18세이상,최우성,842000.0,165,20,0,8.0,1,1,1
미용실 : 특별한 서비스 무삭제,91,18세이상,이리단,593000.0,116,20,3,5.0,1,1,1
조작된 도시,126,15세이상,박광현,165000000000.0,20489362,3536,634,8.0,8,3,2
"그래, 가족",106,12세이상,마대윤,960142400.0,127230,712,193,7.6,3,2,2
레이디버그,80,전체관람가,장성,808779500.0,106661,344,76,6.7,2,1,2
원라인,131,15세이상,양경모,12078008632.0,1578218,1621,277,7.5,5,2,3
비정규직 특수요원,117,15세이상,김덕수,3187129600.0,412312,1039,266,6.3,4,4,3
왕을 참하라,115,18세이상,김재수,58414700.0,7528,98,135,6.2,2,1,3
보통사람,121,15세이상,김봉한,10785712892.0,1389496,1607,261,8.1,5,3,3
시간위의 집,99,15세이상,임대웅,2846275700.0,357987,1005,217,6.3,3,4,4
아빠는 딸,114,12세이상,김형협,36730600186.0,4686990,1983,172,6.9,6,3,4
임금님의 사건수첩,114,12세이상,문현성,80376396156.0,10372582,3114,363,7.2,8,4,4
청불학원: 무삭제판,102,18세이상,장항준,2353000.0,465,20,0,6.9,7,1,4
특별시민,130,15세이상,박인제,69737707215.0,9044805,2928,351,6.4,7,3,4
극장판 또봇: 로봇군단의 습격,81,전체관람가,이민재,4709338500.0,610360,555,208,9.4,4,1,4
슈퍼 빼꼼: 스파이 대작전,76,전체관람가,이창동,4068352700.0,566445,604,85,7.8,6,2,5
불한당: 나쁜 놈들의 세상,119,18세이상,변성현,125000000000.0,15531930,2550,508,4.3,6,3,5
파워배틀 와치카: 와치가면의 역습,73,전체관람가,박희준,586727000.0,81572,459,113,10.0,1,2,6
대립군,129,15세이상,정윤철,35541509012.0,4715928,2012,637,7.9,6,2,5
악녀,123,18세이상,정병길,59286171439.0,7326525,2792,307,6.7,7,2,6
하루,90,15세이상,조선호,39785307316.0,4928343,2607,377,6.7,7,2,6
군함도,132,15세이상,류승완,481000000000.0,62681470,5553,657,6.7,10,4,7
청년경찰,108,15세이상,김주환,348000000000.0,44284244,5167,279,6.8,9,4,8
사자,128,15세이상,김주환,60286259985.0,7531305,3211,585,7.0,9,3,7
장산범,99,15세이상,허정,55409389625.0,6980588,2321,497,5.9,7,2,8
로마의 휴일,107,15세이상,이덕희,3825940804.0,517188,911,201,6.3,3,3,8
두 엄마,80,18세이상,이도시,1794000.0,350,20,21,4.0,1,1,8
붉은 비키니 무삭제판,101,18세이상,최무연,1853000.0,360,20,0,5.6,1,1,8
버닝,147,18세이상,최무연,25124388088.0,2807059,2238,266,6.9,1,4,5
살인자의 기억법,118,15세이상,원신연,132000000000.0,16323337,4045,333,7.0,10,4,9
봉오동 전투,134,15세이상,원신연,251000000000.0,29528820,5611,711,8.8,10,4,8
원정여행,75,18세이상,국만중,937000.0,177,20,18,3.4,1,1,8
이웃집 스타,98,12세이상,임아론,222173900.0,30335,473,161,5.6,3,2,9
범죄도시,121,18세이상,강윤성,523000000000.0,63704847,7106,305,8.3,9,2,10
롱 리브 더 킹: 목포 영웅,117,15세이상,강윤성,51520102580.0,6081686,2662,428,7.6,9,2,6
남한산성,140,15세이상,황동혁,210000000000.0,25768715,3833,624,7.4,9,4,10
넛잡 2,91,전체관람가,캘런 브런커,19576625700.0,2614240,1571,106,8.5,5,1,10
부라더,102,12세이상,장유정,63239702326.0,7972649,3101,185,6.7,7,4,11
희생부활자,91,15세이상,곽경택,6914275405.0,881581,1684,305,5.6,8,4,10
대장 김창수,114,12세이상,이원태,7656068045.0,999768,1733,432,8.7,8,1,10
악인전,109,18세이상,이원태,241000000000.0,27697193,4450,434,7.4,8,3,5
채비,114,12세이상,강형철,7583790348.0,1052533,1284,209,8.9,7,3,11
침묵,125,15세이상,정지우,14056209556.0,1758844,1695,334,7.0,6,4,11
유열의 음악앨범,122,12세이상,정지우,45272395560.0,5524261,3336,426,7.1,6,3,8
역모-반란의 시대,102,15세이상,김현석,804908000.0,110032,672,168,3.5,9,1,11
미옥,90,18세이상,이안규,11090020084.0,1390227,1292,457,4.4,3,3,11
7호실,100,15세이상,이용승,10028558454.0,1297652,1409,207,6.0,5,3,11
꾼,116,15세이상,장창원,191000000000.0,24487011,4979,470,6.7,10,4,11
반드시 잡는다,110,15세이상,김홍선,11887123788.0,1588578,1559,279,6.8,2,2,11
데자뷰,86,15세이상,김홍선,1038417100.0,138777,950,170,3.4,2,1,5
변신,112,15세이상,김홍선,65649646009.0,7641234,3411,426,7.3,2,4,8
기억의 밤,108,15세이상,송창용,65895230685.0,8575174,2750,338,7.8,2,3,11
강철비,139,15세이상,양우석,212000000000.0,26503971,4991,595,8.5,9,3,12
1987,129,15세이상,장준환,496000000000.0,61623785,6625,668,9.5,8,4,12
돌아와요 부산항애(愛),114,15세이상,최성현,99223800.0,12432,101,118,4.6,7,3,1
1급기밀,100,12세이상,홍기선,4866188300.0,609685,1159,262,8.9,1,2,1
조선명탐정: 흡혈괴마의 비밀,119,12세이상,김석윤,84114829140.0,10342911,3880,446,6.6,8,3,2
터닝메카드W: 반다인의 비밀 특별판,75,전체관람가,홍헌표,295234900.0,38909,275,100,8.4,2,1,2
리틀 포레스트,103,전체관람가,임순례,72478457772.0,9149538,3497,265,8.4,7,2,2
지금 만나러 갑니다,131,12세이상,이장훈,165000000000.0,20554061,4911,312,8.0,9,3,3
치즈인더트랩,116,15세이상,김제영,5075094600.0,612868,872,235,6.1,4,1,3
덕구,91,전체관람가,방수인,21798841700.0,2865372,1724,178,8.7,5,4,4
곤지암,94,15세이상,정범식,135000000000.0,16944901,4008,310,5.1,9,4,3
7년의 밤,123,15세이상,추창민,18925624220.0,2513152,1903,546,5.3,6,4,3
바람 바람 바람,100,18세이상,이병헌,52220697824.0,6377610,2995,326,6.3,10,2,4
극한직업,111,15세이상,이병헌,1290000000000.0,150477890,11031,518,7.4,10,4,1
머니백,100,15세이상,허준형,1187224400.0,150310,957,238,6.6,3,2,4
파파 오랑후탄,83,12세이상,장재혁,38427000.0,5075,7,42,9.2,3,1,4
독전,123,15세이상,이해영,300000000000.0,34837542,6357,425,6.6,10,3,5
국제시장,126,12세이상,윤제균,111000000000.0,14262766,3500,548,7.1,10,4,12
내 엄마의 친구,80,18세이상,이진명,1292000.0,239,20,9,10.0,1,1,5
정사 : 아내의 친구,70,18세이상,조태호,758000.0,128,20,36,1.0,1,1,5
허스토리,120,12세이상,민규동,18635967492.0,2489393,1797,247,9.0,6,1,6
변산,122,15세이상,이창재,18254091815.0,2214544,2025,379,8.4,8,3,7
여중생A,114,12세이상,이경섭,3707357500.0,444205,1074,172,7.9,4,3,6
속닥속닥,91,15세이상,최상훈,5223901300.0,594833,710,112,3.9,4,3,7
신비아파트: 금빛 도깨비와 비밀의 동굴,67,전체관람가,김병갑,26942931000.0,3642183,2011,190,7.6,6,1,7
해적왕 작스톰,81,전체관람가,필립 귀엔,80059900.0,10030,128,0,7.8,2,1,7
공작,137,12세이상,윤종빈,263000000000.0,30550000,5202,465,8.4,10,4,8
너의 결혼식,110,12세이상,이석근,164000000000.0,19459167,4373,241,7.4,9,4,8
상류사회,119,18세이상,변혁,28944538265.0,3521392,2460,307,4.1,6,4,8
꽃찌: 독이 있는 사랑,87,18세이상,김문옥,2286000.0,1133,3,40,9.9,1,1,8
미친도시,124,15세이상,장태령,23671000.0,3128,7,31,9.0,2,1,8
물괴,105,15세이상,허종호,29436443870.0,3480628,2530,729,5.3,6,3,9
명당,126,12세이상,박희곤,113000000000.0,13138419,3282,441,6.7,8,4,9
극장판 뽀잉: 슈퍼 변신의 비밀,72,전체관람가,정미화,981119500.0,126688,618,139,9.7,2,2,9
원더풀 고스트,96,12세이상,조원희,17945045400.0,2168325,2000,188,7.6,5,1,9
창궐,121,15세이상,이성관,61271159424.0,7323071,3602,581,5.7,1,2,10
완벽한 타인,115,15세이상,이재규,340000000000.0,40529601,6672,451,7.5,10,4,10
동네사람들,99,15세이상,임진순,10526683986.0,1261511,1711,199,5.4,5,4,11
성난황소,115,15세이상,김민호,47135955547.0,5616663,3259,395,6.3,7,4,11
도어락,102,15세이상,이권,44263719668.0,5376917,2838,263,6.1,7,2,12
번 더 스테이지: 더 무비,82,전체관람가,박준수,9853862800.0,1161064,603,51,9.2,5,1,11
브링 더 소울 : 더 무비,101,전체관람가,박준수,8077823190.0,935389,1152,1,9.1,5,1,8
내안의 그놈,122,15세이상,김유성,102000000000.0,11946042,3693,251,7.6,4,3,1
번개맨의 비밀,68,전체관람가,강유선,675633950.0,85912,489,172,6.0,3,3,12
런닝맨 : 풀룰루의 역습,66,전체관람가,윤준상,5166269400.0,678144,1053,176,5.9,4,1,12
PMC: 더 벙커,124,15세이상,김병우,50021058109.0,5978115,2979,572,5.3,7,3,12
점박이 한반도의 공룡2 : 새로운 낙원,93,전체관람가,한상호,15331641350.0,1955645,1697,490,8.4,5,1,12
뺑반,133,15세이상,한준희,52632358281.0,6351393,3193,540,6.3,8,4,1
자전차왕 엄복동,116,12세이상,김상철,5055955260.0,667624,1161,433,4.6,1,2,2
가슴 큰 여자친구,71,18세이상,준세,978000.0,189,20,0,6.6,1,1,3
악질경찰,127,18세이상,이정범,8379152642.0,968506,1835,364,8.0,4,2,3
나의 특별한 형제,113,12세이상,육상효,76251323844.0,9311376,3078,387,8.6,7,3,5
크게 될 놈,108,15세이상,강지은,4264180770.0,548838,1025,173,8.4,3,1,4
왓칭,97,15세이상,김성기,1323944786.0,157514,945,175,4.9,3,3,4
어린 의뢰인,114,12세이상,장규성,9719700280.0,1171472,1477,261,8.8,4,3,5
걸캅스,107,15세이상,정다원,97798255922.0,11484261,3595,434,6.6,8,4,5
배심원들,113,12세이상,홍승완,15393381710.0,1915902,1911,221,8.8,5,1,5
0.0MHz,101,15세이상,유선동,2990338730.0,377542,870,215,5.0,4,2,5
나랏말싸미,109,전체관람가,조철현,45422111608.0,5510504,2459,422,4.6,6,2,7
암전,85,15세이상,김진원,2654068065.0,299111,829,206,5.2,3,3,8
광대들: 풍문조작단,108,12세이상,김주호,13844140754.0,1668670,1984,394,6.5,6,1,8
두번할까요,112,15세이상,박용집,5479152780.0,657932,1415,336,5.2,4,2,10
82년생 김지영,118,12세이상,김도영,236000000000.0,28604514,6472,359,6.7,9,4,10
마당을 나온 암탉,93,전체관람가,오성윤,14679429000.0,2203601,2000,329,8.9,1,1,7
블랙머니,113,12세이상,정지영,148000000000.0,17509294,4588,390,9.1,8,3,11
신의 한 수: 귀수편,106,15세이상,리건,117000000000.0,13621235,4270,431,6.8,8,3,11
감쪽같은 그녀,104,전체관람가,허인무,16514278010.0,2155572,2174,300,8.2,5,3,12
몬테크리스토,132,12세이상,이동원,12082000.0,955,14,32,9.2,2,1,11
나를 찾아줘,107,15세이상,김승우,18850346780.0,2372112,2209,333,6.6,6,2,11
시동,101,15세이상,최정열,55065299520.0,6519290,3540,479,7.7,8,1,12
해치지않아,117,12세이상,손재곤,197541000.0,23332,79,474,6.5,2,4,1
