순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
271,바람난 아내들2,2018-12-11,"5,000",0.0%,1,1,한국,한국,(주)케이피에이기획
271,아내의 엄마들,2018-12-07,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,장모님들 (감독판),2018-12-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,스와핑 : 형의 여자 무삭제판,2018-01-09,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 친구의 엄마 무삭제,2018-01-16,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,새엄마 2: 그녀의 남자가 되다 (무삭제),2018-01-31,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,누나친구 : 이혼하고 온 날,2018-02-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 처형 : 아내를 대신하다 무삭제판,2018-03-07,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 엄마의 친구: 완숙한 육체를 탐하다,2018-03-06,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 형수님: 형의 여자를 탐하다 -무삭제판,2018-03-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내 이웃의 아내 3 (무삭제),2018-03-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,어린 엄마 - 무삭제판,2018-03-26,"2,000",0.0%,1,1,한국,한국,(주)에이블엔터테인먼트
271,이모의 유혹-무삭제,2018-04-06,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,그녀의 색맛: 감독판,2018-04-24,"2,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,내형의여자친구,2018-04-20,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,부부교환의 날: 젊은 사모님을 탐하다-무삭제판,2018-04-27,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,1박2일 소개팅,2018-05-01,"2,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
271,내친구아내-무삭제,2018-05-22,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,감금,2018-05-17,"2,000",0.0%,1,1,한국,한국,(주)레드언더미디어
271,친구엄마: 여자친구의 엄마를 탐하다,2018-05-24,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,착한 장모들,2018-05-30,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,정사 : 시아버지와 도련님 무삭제,2018-07-24,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,어린 처제 - 무삭제판,2018-07-24,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,장모학개론-무삭제,2018-07-06,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,젊은 처형: 그녀를 탐하다,2018-07-11,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 형수 2,2018-08-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 형수 : 내 여자가 되던 날,2018-08-16,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,스와핑 : 친구부부의 쾌락 2,2018-08-16,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,예쁜 처제들 2018,2018-09-18,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,룸싸롱 여대생들 무삭제,2018-10-16,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,바람난 아내들,2018-10-23,"5,000",0.0%,1,1,한국,한국,(주)케이피에이기획
271,두 엄마 2018,2018-10-16,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,친구엄마들: 맛있는 섹스(감독판),2018-10-30,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,정사 : 친구의 여자를 탐하다 무삭제,2018-11-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,가정부 : 맛있는 서비스 무삭제,2018-11-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 형수 3 무삭제,2018-11-07,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,여자 하숙집2 무삭제,2018-11-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,과외의 추억-무삭제,2018-11-05,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,장모님의 개인교습 (감독판),2018-11-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내 학생의 엄마 3 무삭제,2018-11-22,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,엄마친구 5 무삭제판,2018-11-07,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,교회누나 무삭제판,2018-12-14,"2,000",0.0%,1,1,한국,한국,(주)엔트리미디어
271,딸의 친구 2 - 무삭제판,2018-01-24,"3,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,새엄마는 전여친,2018-01-18,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,소문의 여자,2018-01-02,"2,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
271,친구엄마 : 섹스 하던 날,2018-01-18,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,젊은 형수: 형의 여자를 탐하다,2018-01-31,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내 여자가 된 형수,2018-02-01,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,친구엄마 : 내 여자가 되던 날,2018-02-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,학생의 엄마 : 첫 섹스 하던 날 무삭제,2018-03-28,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,연변 아가씨의 맛섹사-무삭제판,2018-03-14,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,성판17: 남자들의 17가지 성적 판타지 무삭제판,2018-03-12,"1,000",0.0%,1,1,한국,한국,주식회사 레드아이스
271,부부교환섹스 3,2018-03-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,어린 여자: 맛있는 관음-무삭제판,2018-03-27,"2,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,내 아내의 언니 2 무삭제,2018-04-17,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,처녀 사냥 - 무삭제판,2018-04-18,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,동창회의 목적 3(무삭제),2018-04-27,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,부부교환섹스 3-무삭제판,2018-04-27,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,수상한 종업원(무삭제판),2018-05-29,"5,000",0.0%,1,1,한국,한국,(주)가온콘텐츠
271,큰놈의 불기둥,2018-05-17,"2,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
271,엄마친구 4 무삭제,2018-06-04,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,친구엄마: 여자친구의 엄마를 탐하다(무삭제),2018-06-15,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,후배부부와 교환섹스,2018-06-29,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,친구엄마 : 섹스 하던 날 무삭제,2018-07-24,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 친구의 엄마 2 무삭제,2018-07-30,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 엄마의 친구(무삭제),2018-07-03,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,착한 장모들(무삭제),2018-07-03,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,사촌 여동생들: 금단의 사랑(무삭제),2018-07-03,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 형수님: 내 여자가 되던 날,2018-07-03,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,개인교수 : 여친 만족 시키기,2018-08-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,후배부부와 교환섹스-무삭제,2018-08-03,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,젊은형수님들,2018-08-30,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,섹스 인 더 게임 무삭제판,2018-09-07,"2,000",0.0%,1,1,한국,한국,선셋 시네마
271,너무 밝히는 사촌누나들(감독판),2018-09-27,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 처제들,2018-09-27,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,아내의 애인 2 무삭제,2018-09-21,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,친구 엄마들 2018,2018-10-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,미투 숨겨진진실 무삭제,2018-10-26,"5,000",0.0%,1,1,한국,한국,노다지엔터테인먼트
271,장모님들,2018-10-16,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,바람난 여자들2 무삭제,2018-11-06,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 친구엄마들 2018 (감독판),2018-11-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,어린 처제 2 - 무삭제판,2018-11-17,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,정사 : 캠퍼스 커플 무삭제,2018-11-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,친구엄마들 무삭제,2018-11-16,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 처제의 사랑 무삭제편,2018-11-08,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 자매의 유혹 무삭제,2018-11-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,스와핑 : 친구부부의 쾌락 2 무삭제,2018-11-12,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 사촌 여동생들 (감독판),2018-12-07,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,자매의은밀한스와핑,2018-12-21,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,엄마친구의맛,2018-12-28,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,새엄마 새누나 무삭제판,2018-01-11,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,젊은 아내: 남편 교환의 날 (무삭제),2018-01-22,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,착한 엄마 (무삭제),2018-01-25,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,부부교환의 날 2017: 친구의 아내를 탐하다 -무삭제판,2018-01-31,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,파도 여인 그리고 탱고 무삭제판,2018-01-12,"5,000",0.0%,1,1,한국,한국,(주)에스와이미디어
271,내 아내의 친구-무삭제판,2018-02-14,"2,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,연애사슬,2018-02-28,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,누나친구 : 이혼하고 온 날 무삭제,2018-03-28,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,두 부부의 정사,2018-03-30,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,발칙한 동거 무삭제,2018-03-01,"6,000",0.0%,1,1,한국,한국,(주)로드하우스
271,엄마 애인 -무삭제판,2018-04-18,"2,000",0.0%,1,1,한국,한국,(주)에이블엔터테인먼트
271,하숙집 여주인의 목적-감독판,2018-04-10,"2,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,내친구아내,2018-04-13,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,섹남섹녀,2018-04-26,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,완벽한 섹스의 맛-무삭제판,2018-05-08,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,맛있는 섹스 그리고 그 여자-감독판,2018-06-12,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,여직원들 : 2대2 섹스,2018-06-12,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,친구엄마 : 내 여자가 되던 날 무삭제,2018-07-24,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,사촌누나들 무삭제,2018-07-23,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,어린 이모 - 무삭제판,2018-08-15,"1,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,그녀의 색맛: 무삭제판,2018-08-23,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,친구누나2 무삭제,2018-08-10,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 사촌 여동생들,2018-08-30,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,작은 엄마들(무삭제),2018-09-12,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,진주의순결상실-무삭제,2018-09-28,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,밀애 : 친구엄마 무삭제판,2018-10-02,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,가정부 : 맛있는 서비스,2018-10-02,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,검은비: 악의연대기,2018-10-26,"5,000",0.0%,1,1,한국,한국,(주)조이컴퍼니
271,교환섹스 : 동생의 여자 무삭제,2018-11-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,밀애 : 사장님의 젊은 아내 무삭제,2018-11-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,젊은 엄마 친구 무삭제판,2018-11-07,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 자매들 무삭제판,2018-11-12,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,여친 언니 무삭제,2018-11-13,"5,000",0.0%,1,1,한국,한국,(주)영화사가을
271,마지막 정사: 여럿이 다같이-감독판,2018-11-28,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,선녀는 몸으로 운다-무삭제판,2018-11-28,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,짱,2018-12-28,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,내 처제가 된 첫사랑,2018-12-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,친구엄마 2018 (무삭제),2018-12-18,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,새엄마의 섹스 교육 무삭제판,2018-01-09,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 형수 2 무삭제,2018-01-23,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,부부교환섹스 2 (무삭제),2018-01-25,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,친구엄마: 그녀의 병간호 (무삭제),2018-01-31,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내 이웃의 아내 3,2018-01-31,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,작은 엄마 2: 삼촌의 여자들 (무삭제),2018-03-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,정사: 질투의 덫-무삭제판,2018-03-28,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,왕을 참하라 무삭제판,2018-03-21,"5,000",0.0%,1,1,한국,한국,(주)영화사 조은
271,정사 : 착한 며느리들 무삭제판,2018-04-26,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,맛있는 유혹,2018-04-03,"2,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,19금 특별한 정사,2018-04-24,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,형수의 직업_무삭제판,2018-04-20,"6,000",0.0%,1,1,한국,한국,(주)마이애미미디어
271,수상한 진료실: 엄마친구의 특별한 치료-무삭제판,2018-04-17,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,처제의 속사정2,2018-05-03,"2,000",0.0%,1,1,한국,한국,(주)레드언더미디어
271,여직원의 맛,2018-05-28,"2,000",0.0%,1,1,한국,한국,㈜리필름
271,새아빠,2018-06-15,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,어린장모-무삭제,2018-06-15,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,친구 딸들의 맛,2018-06-15,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,두 부부의 정사 무삭제,2018-07-23,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 은밀한 밀애-무삭제판,2018-07-25,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,내아들의여자들,2018-08-31,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,착한 엄마친구 2 무삭제,2018-08-23,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,너무 밝히는 사촌누나들,2018-08-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,친구엄마들: 맛있는 섹스,2018-08-30,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,시아의 몽정기-무삭제,2018-09-07,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,내 친구엄마들 2018,2018-09-18,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,불륜 동창회 무삭제,2018-10-16,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 친구의 여자를 탐하다,2018-10-02,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 : 사촌 여동생들 무삭제,2018-11-14,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,친구 엄마들의 맛 (감독판),2018-11-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,친구 엄마들 2018 (감독판),2018-11-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,밀애 : 부부카풀 무삭제,2018-11-13,"5,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한여선생-무삭제,2018-11-23,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,스와핑 민박집- 무삭제판,2018-11-28,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,정사 : 착한 숙모 무삭제,2018-11-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,정사 2018,2018-12-13,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,옆집소녀2-무삭제,2018-12-14,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,젊은 처제들 (감독판),2018-12-18,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,정사 : 시아버지와 도련님,2018-01-18,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,비밀정사 : 작은엄마,2018-01-18,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,연상녀들 : 내가 가르쳐 줄게 무삭제,2018-02-23,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,교환섹스 : 동생의 여자,2018-02-06,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,밀애 : 사장님의 젊은 아내,2018-02-06,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,첫경험 - 무삭제판,2018-03-26,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,착한 엄마 무삭제,2018-03-16,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,젊은장모-무삭제,2018-03-09,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,친구엄마: 이혼한 그녀의 남자가 되던 날 (무삭제),2018-03-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,사촌누나들,2018-03-30,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,부부교환의 날: 젊은 사모님을 탐하다,2018-03-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판,2018-04-17,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,어린 아내-무삭제판,2018-05-29,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,새엄마 2 무삭제,2018-06-19,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,미용실 : 특별한 서비스 2 무삭제,2018-06-04,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,섹스의 목적-무삭제판,2018-06-19,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,착한 형수 : 뜨거운 유혹 무삭제,2018-07-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,여직원들 : 2대2 섹스 무삭제,2018-07-23,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,비밀정사:작은엄마 무삭제,2018-07-24,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 친구의 엄마들,2018-08-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,친구 엄마들의 맛,2018-08-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,착한 장모 (무삭제),2018-08-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,착한여선생,2018-10-12,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,유부녀들의 맛 무삭제판,2018-11-13,"5,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 엄마 2 무삭제,2018-11-14,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,섹스는 맛있다,2018-11-06,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,동생의 여자,2018-11-22,"5,000",0.0%,1,1,한국,한국,(주)케이피에이기획
271,룸싸롱 맛있는 서비스 무삭제,2018-11-13,"5,000",0.0%,1,1,한국,한국,(주)영화사가을
271,애인 : 아내의 남자 무삭제,2018-11-12,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,여친엄마 2 무삭제,2018-11-08,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한여자친구,2018-12-10,"5,000",0.0%,1,1,한국,한국,에이원 미디어
271,두 엄마 2018 (감독판),2018-12-07,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,하숙집 여주인의 목적-무삭제판,2018-12-26,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,어린 새엄마들,2018-12-18,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,엄마친구의 섹스 무삭제판,2018-01-11,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,어린 형수 3 - 무삭제판,2018-01-24,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,아내들의 속사정,2018-01-11,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,부부 교환의 날 2017 (무삭제),2018-02-13,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,일본 엄마 2 무삭제,2018-03-20,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,친구엄마 : 참을 수 없는 날 무삭제,2018-03-28,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,여자들 : 섹스의 만족도 무삭제,2018-03-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,외출 2 무삭제,2018-03-20,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,작은 엄마 무삭제,2018-03-20,"6,000",0.0%,1,1,한국,한국,(주)영화사 사계절
271,비뇨기과 여의사들 무삭제,2018-05-24,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,맛있는 섹스 그리고 여친 무삭제 특별판,2018-05-03,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,제주도 야한밤 무삭제,2018-06-07,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,처제의 은밀한 유혹,2018-06-12,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 장모님들과의 정사,2018-06-15,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,야한 짓 : 무삭제판,2018-08-30,"1,000",0.0%,1,1,한국,한국,(주)케이알씨지
271,엄마 친구들과의 정사,2018-08-10,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 처형: 그녀를 탐하다(무삭제),2018-09-12,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,동생의착한아내,2018-09-14,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,사춘기 여동생,2018-09-12,"2,000",0.0%,1,1,한국,한국,선셋 시네마
271,초대녀 - 무삭제판,2018-09-08,"2,000",0.0%,1,1,한국,한국,(주)컨텐츠 빌리지
271,엄마 친구들과의 정사(감독판),2018-10-12,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,내아들의여자들-무삭제,2018-10-12,"5,000",0.0%,1,1,한국,한국,스마일컨텐츠
271,오르가즘 레스토랑,2018-10-30,"2,000",0.0%,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
271,엄마친구들 2 무삭제,2018-11-08,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,예쁜 처제들 2018 (감독판),2018-11-09,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,밀애 : 아내의 여동생 무삭제판,2018-11-22,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,착한 형수 : 내 여자가 되던 날 무삭제,2018-11-26,"6,000",0.0%,1,1,한국,한국,(주)영화사가을
271,사촌 누나 무삭제,2018-11-13,"5,000",0.0%,1,1,한국,한국,(주)영화사가을
271,내 착한 새엄마,2018-12-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
271,젊은 형수님들 (감독판),2018-12-26,"5,000",0.0%,1,1,한국,한국,(주)소나무픽쳐스
1,극한직업,2019-01-23,"139,647,979,516",14.7%,"16,264,944","1,978",한국,한국,(주)씨제이이엔엠
2,기생충,2019-05-30,"85,883,963,645",9.1%,"10,085,275","1,948",한국,한국,(주)씨제이이엔엠
3,엑시트,2019-07-31,"79,232,012,162",8.4%,"9,426,011","1,660",한국,한국,(주)씨제이이엔엠
4,백두산,2019-12-19,"52,905,789,770",5.6%,"6,290,502","1,971",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
5,봉오동 전투,2019-08-07,"40,588,648,538",4.3%,"4,787,538","1,476",한국,한국,(주)쇼박스
6,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124",4.2%,"4,573,902","1,511",한국,한국,(주)씨제이이엔엠
7,82년생 김지영,2019-10-23,"30,298,542,310",3.2%,"3,678,156","1,486",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
8,돈,2019-03-20,"28,869,614,062",3.0%,"3,389,035","1,431",한국,한국,(주)쇼박스
9,악인전,2019-05-15,"29,130,540,150",3.1%,"3,364,360","1,307",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
10,가장 보통의 연애,2019-10-02,"24,885,803,430",2.6%,"2,924,563","1,073",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
12,증인,2019-02-13,"20,477,262,331",2.2%,"2,534,075","1,047",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
13,시동,2019-12-18,"21,236,477,800",2.2%,"2,525,986","1,515",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
14,블랙머니,2019-11-13,"20,863,134,010",2.2%,"2,478,964","1,117",한국,한국,(주)에이스메이커무비웍스
15,사바하,2019-02-20,"20,007,508,194",2.1%,"2,398,519","1,174",한국,한국,(주)씨제이이엔엠
16,타짜: 원 아이드 잭,2019-09-11,"19,687,029,214",2.1%,"2,229,239","1,429",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
17,신의 한 수: 귀수편,2019-11-07,"18,463,776,050",1.9%,"2,157,437","1,246",한국,한국,(주)씨제이이엔엠
19,뺑반,2019-01-30,"15,222,811,848",1.6%,"1,826,714","1,285",한국,한국,(주)쇼박스
20,변신,2019-08-21,"15,417,922,925",1.6%,"1,804,112",975,한국,한국,(주)에이스메이커무비웍스
